[GIN] 2026/09/11 - 14:21:49 | 200 |      6.4976ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:21:49 | 200 |      5.4605ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:21:51 | 200 |    2.8987823s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:21:51 | 200 |      1.1388ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:21:51 | 200 |      4.1646ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:21:51 | 200 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2026/09/11 - 14:21:51 | 200 |      5.7869ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:21:51 | 200 |      5.7869ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:21:51 | 200 |      6.2971ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:21:51 | 200 |      6.2971ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:21:52 | 200 |      26.615ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/09/11 - 14:22:13 | 200 |       508.4µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/09/11 - 14:25:19 | 200 |         3m27s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:25:19 | 200 |      4.2749ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:25:19 | 200 |      5.9049ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:25:19 | 200 |      9.0238ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:25:19 | 200 |      8.9162ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:25:19 | 200 |      8.9911ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:25:19 | 200 |     14.7459ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:25:19 | 200 |     14.7459ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:25:30 | 200 |   11.2146015s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:25:30 | 200 |      5.4739ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:25:31 | 200 |     15.5303ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:25:31 | 200 |     11.3879ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:25:31 | 200 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2026/09/11 - 14:25:31 | 200 |     34.0507ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:25:31 | 200 |     29.5361ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:25:31 | 200 |     34.6361ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:25:31 | 200 |     60.3563ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/09/11 - 14:26:52 | 200 |         1m21s |       127.0.0.1 | POST     "/api/chat"
